Name,Country,Region,City,Road,Historical Period,Geographical zone,Archeological/ Historical Site,Religious Site,Touristic Site,Museum,Univeristy/ Research Institute,Hike,National parc,Battle site,Reconstitution,Activities,Events,Travel agency,Administrative entity,Association,Shops,DVA Members,Website,Lattitude,Longitude
Polotsk,Belarus,,,Vikings,,,true,true,true,,,,,,,,,,,,,,,55.4866,28.7831
L'Anse aux Medows,Canada,Terre-Neuve-et-labrador,L'Anse aux Medows,Vikings,,,true,,true,,,,,,,,,,,,,,,51.6054,-55.5326
Lindholm Høje,Denmark,,,Vikings,,,true,true,true,true,,TRUE,,,,,,,,,,,,57.0392,9.9227
Fyrkat,Denmark,,,Vikings,,,true,true,true,,,,,,,,,,,,,,,56.5534,9.6005
Moesgaard Museum,Denmark,,,Vikings,,,,,true,true,,,,,,,,,,,,,,56.1118,10.2039
Ribe Vikinge Center,Denmark,,,Vikings,,,,,true,true,,,,,true,true,,,,,,,,55.3281,8.7704
Trelleborg,Denmark,,Slagelse,Vikings,,,true,,true,true,,,,,true,,,,,,,true,,55.4211,13.1563
Tissø,Denmark,,,Vikings,,,true,,true,true,,true,true,,,,,,,,,,,55.6674,11.1948
Ulvsborg Medieval Centre,Denmark,,,Vikings,,,,,true,true,,,,,true,true,,,,,,,,57.6382,11.8822
Frederikssund Viking Village,Denmark,,,Vikings,,,,,true,,,,,,true,true,,,,,,true,,55.8397,12.0679
Viking Ship museum,Denmark,,Roskilde,Vikings,,,,,true,true,,,,,true,true,,,,,,,,55.6446,12.0645
National Museum of Denmark,Denmark,,,Vikings,,,,,true,true,,,,,true,true,,,,,,true,,55.6756,12.5775
Viking Ship Museum,Denmark,,Roskilde,Vikings,,,,,true,true,,,,,true,true,,,,,,true,,55.6423,12.0713
Lejre Land of Legends,Denmark,,Lejre,Vikings,,,true,,true,true,,true,,,true,true,,,,,,true,,55.6131,11.9773
Museum Vestsjælland,Denmark,,,Vikings,,,,,true,true,,,,,,true,,,,,,true,,55.4308,11.5644
Trelleborg Viking Festival 2024,Denmark,,,Vikings,,,,,,,,,,,,,true,,,,,,,55.4020,11.2266
Jorvik Viking Festival,England,,,Vikings,,,,,,,,,,,,,true,,,,,,,53.9591,-1.0815
Jorvik Viking Centre,England,,,Vikings,,,,,true,true,,,,,true,true,,,,,,true,,53.9570,-1.0820
British Museum,England,,,Vikings,,,,,true,true,,,,,,,,,,,,,,51.5194,-0.1270
Sutton Hoo,England,,,Vikings,,,true,true,true,,,,,,,,,,,,,,,52.0925,1.3175
Ancient Technology Centre,England,,,Vikings,,,true,,true,true,true,,,,,,,,,,,,,50.9155,-1.9571
Gosforth Cross,England,,,Vikings,,,true,true,true,,,,,,,,,,,,,,,54.4281,-3.3935
Lindisfarne,England,,,Vikings,,,true,true,true,,,true,,,,,,,,,,,,55.6688,-1.7847
Víkingaskip,Faroe Islands,,Hov,Vikings,,,,,,,true,,,,true,,,,,,,true,,61.8881,-6.9478
Hov,Faroe Islands,,,Vikings,,,true,true,true,true,,true,,,,true,,,,,,,,59.3161,17.5141
Sandoy,Faroe Islands,,,Vikings,,,true,true,true,true,,true,,,,true,,,,,,,,61.8667,-6.8333
Tinganes,Faroe Islands,,,Vikings,,,true,true,true,true,,true,,,,true,,,,,,,,62.0167,-6.7667
Kirkjubøur,Faroe Islands,,,Vikings,,,true,true,true,,,,,,,,,,,,,,,61.9631,-6.8361
The National Museum of the Faroe Islands,Faroe Islands,,,Vikings,,,,,true,true,,,,,,,,,,,,,,62.0153,-6.7761
Rosala Viking Centre,Finland,,,Vikings,,,true,,true,true,,,,,true,true,,,,,,true,,60.1911,21.5121
Rouen,France,,,Vikings,,,true,true,true,true,,true,,,,true,,,,,,,,49.4432,1.0999
Lionheart tours ,France,Normandie,,Vikings,,,,,,,,true,,,,,,,,,,true,,49.3923,0.5306
Ornavik historical park,France,,,Vikings,,,,,true,true,,,,,true,true,,,,,,,,49.2131,-0.3238
Château de Pirou,France,,,Vikings,,,true,,true,,,,,,,,,,,,,,,49.2267,-1.5962
Association Viking 911,France,,,Vikings,,,,,true,,,,,,true,true,,,,,,true,,49.1588,1.5494
Hvasley Church,Greenland,Kujalleq,Hvasley,Vikings,,,true,true,true,,,,,,,,,,,,,,,55.9384,-3.2707
Brattahlid,Greeland,Kujalleq,Qassiarsuk,Vikings,,,true,,true,,,,,,,,,,,,,,,64.1894,-51.7212
Garðar,Greenland,Kujalleq,Igaliku,Vikings,,,true,true,true,,,true?,,,,,,,,,,,,60.9915,-45.5735
Spakonuhof - Museum of Prophecies,Iceland,	Norðurland vestra,Skagaströnd,Vikings,,,,,true,true,,,,,,,,,,,,,,66.0714,-21.5323
Eiríksstaðir - Viking Home Museum,Iceland,	Vesturland,Búðardalur,Vikings,,,,,true,true,,,,,,,,,,,,,,65.0615,-21.3915
Reykholt,Iceland,Vesturland,Borgarbyggð,Vikings,,,true,true,true,true,,true,,true,,,,,,,,,,64.6595,-20.3023
Settlement center,Iceland,Vesturland,Borgarnes,Vikings,,,,,true,true,,,,,,,,,,,,,,64.5658,-21.9005
Þingvellir,Iceland,Suðurland,	Bláskógabyggð/Grímsnesog Grafningshreppur,Vikings,,,,,true,,,true,true,,,,,,,,,,,64.2550,-21.1306
Skálholt,Iceland,,,Vikings,,,true,true,true,true,,,,,,,,,,,,,,64.1153,-20.3093
Þjórsárdalur,Iceland,,,Vikings,,,true,,true,,,,,,,,,,,,,,,64.0127,-19.5788
Hvolsvöllur (The Saga Centre),Iceland,,Hvolsvöllur,Vikings,,,,,true,true,,,,,,,,,,,,,,63.7486,-20.2251
Viking World,Iceland,,,Vikings,,,,,true,true,,,,,,,,,,,,,,63.9818,-22.5252
